Date	Price
2023-12-13	0.2019
2023-12-12	0.2015
2023-12-11	0.2025
2023-12-08	0.2027
2023-12-07	0.2036
2023-12-06	0.204
2023-12-05	0.2028
2023-12-04	0.2023
2023-12-01	0.2049
2023-11-30	0.2032
2023-11-29	0.2039
2023-11-28	0.2053
2023-11-27	0.2042
2023-11-24	0.2039
2023-11-23	0.2039
2023-11-22	0.2038
2023-11-21	0.204
2023-11-20	0.206
2023-11-17	0.2038
2023-11-16	0.2056
2023-11-15	0.2056
2023-11-14	0.2055
2023-11-13	0.2037
2023-11-10	0.204
2023-11-09	0.2026
2023-11-08	0.2036
2023-11-07	0.2052
2023-11-06	0.2047
2023-11-03	0.204
2023-11-02	0.2019
2023-11-01	0.2018
2023-10-31	0.1985
2023-10-30	0.1981
2023-10-27	0.1993
2023-10-26	0.2005
2023-10-25	0.2001
2023-10-24	0.2003
2023-10-23	0.1994
2023-10-20	0.1986
2023-10-19	0.1975
2023-10-18	0.1976
2023-10-17	0.1983
2023-10-16	0.1984
2023-10-13	0.1968
2023-10-12	0.1981
2023-10-11	0.198
2023-10-10	0.1979
2023-10-09	0.1946
2023-10-06	0.1942
2023-10-05	0.1935
2023-10-04	0.194
2023-10-03	0.1934
2023-10-02	0.1975
2023-09-29	0.1986
2023-09-28	0.1986
2023-09-27	0.1982
2023-09-26	0.2004
2023-09-25	0.2013
2023-09-22	0.2025
2023-09-21	0.2025
2023-09-20	0.2048
2023-09-19	0.2054
2023-09-18	0.2059
2023-09-15	0.2054
2023-09-14	0.2053
2023-09-13	0.2033
2023-09-12	0.2021
2023-09-11	0.2028
2023-09-08	0.2004
2023-09-07	0.2009
2023-09-06	0.2008
2023-09-05	0.2013
2023-09-04	0.2024
2023-09-01	0.2021
2023-08-31	0.2017
2023-08-30	0.2044
2023-08-29	0.206
2023-08-28	0.2052
2023-08-25	0.2052
2023-08-24	0.2048
2023-08-23	0.2059
2023-08-22	0.2024
2023-08-21	0.2008
2023-08-18	0.2012
2023-08-17	0.2009
2023-08-16	0.2004
2023-08-15	0.2005
2023-08-14	0.2015
2023-08-11	0.2038
2023-08-10	0.2043
2023-08-09	0.2039
2023-08-08	0.204
2023-08-07	0.204
2023-08-04	0.2052
2023-08-03	0.2033
2023-08-02	0.2078
2023-08-01	0.2086
2023-07-31	0.2116
2023-07-28	0.2112
2023-07-27	0.2108
2023-07-26	0.2111
2023-07-25	0.2104
2023-07-24	0.2114
2023-07-21	0.2092
2023-07-20	0.2084
2023-07-19	0.2086
2023-07-18	0.2078
2023-07-17	0.2079
2023-07-14	0.2087
2023-07-13	0.2084
2023-07-12	0.2075
2023-07-11	0.2059
2023-07-10	0.2041
2023-07-07	0.2052
2023-07-06	0.2032
2023-07-05	0.2062
2023-07-04	0.2065
2023-07-03	0.208
2023-06-30	0.2089
2023-06-29	0.2059
2023-06-28	0.206
2023-06-27	0.2078
2023-06-26	0.2096
2023-06-23	0.2089
2023-06-22	0.2096
2023-06-21	0.2099
2023-06-20	0.2087
2023-06-19	0.2093
2023-06-16	0.2074
2023-06-15	0.2078
2023-06-14	0.2076
2023-06-13	0.2055
2023-06-12	0.2056
2023-06-09	0.2049
2023-06-08	0.2032
2023-06-07	0.2031
2023-06-06	0.2035
2023-06-05	0.2029
2023-06-02	0.2017
2023-06-01	0.1994
2023-05-31	0.1977
2023-05-30	0.1985
2023-05-29	0.1993
2023-05-26	0.2002
2023-05-25	0.1985
2023-05-24	0.2015
2023-05-23	0.2011
2023-05-22	0.2013
2023-05-19	0.2
2023-05-18	0.2013
2023-05-17	0.2024
2023-05-16	0.2024
2023-05-15	0.2044
2023-05-12	0.2031
2023-05-11	0.2027
2023-05-10	0.2022
2023-05-09	0.2005
2023-05-08	0.1995
2023-05-05	0.2019
2023-05-04	0.2006
2023-05-03	0.2001
2023-05-02	0.1984
2023-05-01	0.2004
2023-04-28	0.2004
2023-04-27	0.2009
2023-04-26	0.1982
2023-04-25	0.198
2023-04-24	0.1986
2023-04-21	0.198
2023-04-20	0.198
2023-04-19	0.197
2023-04-18	0.2006
2023-04-17	0.2023
2023-04-14	0.2036
2023-04-13	0.2029
2023-04-12	0.2033
2023-04-11	0.1997
2023-04-10	0.1974
2023-04-07	0.1978
2023-04-06	0.1976
2023-04-05	0.1986
2023-04-04	0.1971
2023-04-03	0.1974
2023-03-31	0.1975
2023-03-30	0.1963
2023-03-29	0.1946
2023-03-28	0.1935
2023-03-27	0.1923
2023-03-24	0.1906
2023-03-23	0.1887
2023-03-22	0.1908
2023-03-21	0.1907
2023-03-20	0.1909
2023-03-17	0.1894
2023-03-16	0.1911
2023-03-15	0.189
2023-03-14	0.1902
2023-03-13	0.1905
2023-03-10	0.1917
2023-03-09	0.1936
2023-03-08	0.1943
2023-03-07	0.1926
2023-03-06	0.194
2023-03-03	0.1925
2023-03-02	0.1922
2023-03-01	0.193
2023-02-28	0.1909
2023-02-27	0.1922
2023-02-24	0.1919
2023-02-23	0.1946
2023-02-22	0.194
2023-02-21	0.1935
2023-02-20	0.1935
2023-02-17	0.1935
2023-02-16	0.1916
2023-02-15	0.1916
2023-02-14	0.1926
2023-02-13	0.1938
2023-02-10	0.1917
2023-02-09	0.189
2023-02-08	0.1922
2023-02-07	0.1919
2023-02-06	0.1943
2023-02-03	0.1941
2023-02-02	0.198
2023-02-01	0.1978
2023-01-31	0.1971
2023-01-30	0.1954
2023-01-27	0.1957
2023-01-26	0.1974
2023-01-25	0.1971
2023-01-24	0.1945
2023-01-23	0.192
2023-01-20	0.192
2023-01-19	0.1932
2023-01-18	0.1928
2023-01-17	0.196
2023-01-16	0.1942
2023-01-13	0.1962
