Data,Ano,Mês,Dia,Custo médio m² - mão-de-obra ,Custo médio m² - material,Custo médio m² - total (target)
01/01/2013,2013,1,1,402.12,455.09,857.21
01/02/2013,2013,2,1,406.88,456.58,863.46
01/03/2013,2013,3,1,407.43,457.6,865.03
01/04/2013,2013,4,1,413,457.97,870.97
01/05/2013,2013,5,1,366.26,460.08,826.34
01/06/2013,2013,6,1,429.87,460.89,890.76
01/07/2013,2013,7,1,374.52,461.43,835.95
01/08/2013,2013,8,1,377.73,463.03,840.76
01/09/2013,2013,9,1,379.55,465.76,845.31
01/10/2013,2013,10,1,380.8,468.27,849.07
01/11/2013,2013,11,1,381.11,471.51,852.62
01/12/2013,2013,12,1,386,474.1,860.1
01/01/2014,2014,1,1,387.01,477,864.01
01/02/2014,2014,2,1,387.44,480.39,867.83
01/03/2014,2014,3,1,387.57,485.63,873.2
01/04/2014,2014,4,1,389.71,487.48,877.19
01/05/2014,2014,5,1,398.67,487.84,886.51
01/06/2014,2014,6,1,402.15,489.58,891.73
01/07/2014,2014,7,1,406.23,490.65,896.88
01/08/2014,2014,8,1,409.49,492.01,901.5
01/09/2014,2014,9,1,409.94,493,902.94
01/10/2014,2014,10,1,410.36,495.29,905.65
01/11/2014,2014,11,1,412.5,494.93,907.43
01/12/2014,2014,12,1,415.95,497.37,913.32
01/01/2015,2015,1,1,416.87,498.35,915.22
01/02/2015,2015,2,1,417.62,499.23,916.85
01/03/2015,2015,3,1,418.79,500.16,918.95
01/04/2015,2015,4,1,421.25,502.33,923.58
01/05/2015,2015,5,1,430.18,505.02,935.2
01/06/2015,2015,6,1,434.84,507.16,942
01/07/2015,2015,7,1,438.63,509.83,948.46
01/08/2015,2015,8,1,444.23,510.89,955.12
01/09/2015,2015,9,1,445.12,512.51,957.63
01/10/2015,2015,10,1,446.76,513.41,960.17
01/11/2015,2015,11,1,447.34,515.5,962.84
01/12/2015,2015,12,1,447.33,516.06,963.39
01/01/2016,2016,1,1,450.57,518.13,968.7
01/02/2016,2016,2,1,453.29,523.53,976.82
01/03/2016,2016,3,1,459.43,525.38,984.81
01/04/2016,2016,4,1,462.59,526.78,989.37
01/05/2016,2016,5,1,469.92,527.68,997.6
01/06/2016,2016,6,1,479.2,528.55,1007.75
01/07/2016,2016,7,1,481.79,527.97,1009.76
01/08/2016,2016,8,1,484.33,527.83,1012.16
01/09/2016,2016,9,1,483.83,530.97,1014.8
01/10/2016,2016,10,1,489.76,531.49,1021.25
01/11/2016,2016,11,1,491.08,531.18,1022.26
01/12/2016,2016,12,1,496.09,531.21,1027.3
01/01/2017,2017,1,1,499.28,531.93,1031.21
01/02/2017,2017,2,1,499.27,533.89,1033.16
01/03/2017,2017,3,1,503.74,534.22,1037.96
01/04/2017,2017,4,1,505.13,534.41,1039.54
01/05/2017,2017,5,1,506.45,536.24,1042.69
01/06/2017,2017,6,1,510.4,536.28,1046.68
01/07/2017,2017,7,1,514.97,537.78,1052.75
01/08/2017,2017,8,1,518.06,537.12,1055.18
01/09/2017,2017,9,1,518.47,539.52,1057.99
01/10/2017,2017,10,1,519.1,540.58,1059.68
01/11/2017,2017,11,1,520.57,544.19,1064.76
01/12/2017,2017,12,1,521.71,544.97,1066.68
01/01/2018,2018,1,1,521.91,547.7,1069.61
01/02/2018,2018,2,1,522.21,550.66,1072.87
01/03/2018,2018,3,1,521.06,553.35,1074.41
01/04/2018,2018,4,1,523.01,554.15,1077.16
01/05/2018,2018,5,1,527.49,555.64,1083.13
01/06/2018,2018,6,1,530.71,558.75,1089.46
01/07/2018,2018,7,1,531.4,563.69,1095.09
01/08/2018,2018,8,1,532.1,566.91,1099.01
01/09/2018,2018,9,1,533.19,570.79,1103.98
01/10/2018,2018,10,1,534.05,574.7,1108.75
01/11/2018,2018,11,1,534.66,576.75,1111.41
01/12/2018,2018,12,1,534.55,579.33,1113.88
01/01/2019,2019,1,1,538.19,580.41,1118.6
01/02/2019,2019,2,1,537.36,583.63,1120.99
01/03/2019,2019,3,1,538.59,588.23,1126.82
01/04/2019,2019,4,1,540.52,590.15,1130.67
01/05/2019,2019,5,1,539.41,592.48,1131.89
01/06/2019,2019,6,1,540.73,595.15,1135.88
01/07/2019,2019,7,1,545.73,597.92,1143.65
01/08/2019,2019,8,1,546.42,602.23,1148.65
01/09/2019,2019,9,1,549,603.87,1152.87
01/10/2019,2019,10,1,549.61,605.4,1155.01
01/11/2019,2019,11,1,549.9,606.41,1156.31
01/12/2019,2019,12,1,553.17,605.64,1158.81
01/01/2020,2020,1,1,552.85,609.39,1162.24
01/02/2020,2020,2,1,552.52,612.61,1165.13
01/03/2020,2020,3,1,555.34,613.81,1169.15
01/04/2020,2020,4,1,557.67,614.38,1172.05
01/05/2020,2020,5,1,558.46,615.56,1174.02
01/06/2020,2020,6,1,559.03,616.59,1175.62
01/07/2020,2020,7,1,561.83,619.58,1181.41
01/08/2020,2020,8,1,562.32,629.52,1191.84
01/09/2020,2020,9,1,563.46,645.56,1209.02
01/10/2020,2020,10,1,563.69,666.03,1229.72
01/11/2020,2020,11,1,565.08,687.02,1252.1
01/12/2020,2020,12,1,566.07,710.33,1276.4
01/01/2021,2021,1,1,570.47,731.37,1301.84
01/02/2021,2021,2,1,570.6,748.58,1319.18
01/03/2021,2021,3,1,573.28,765.07,1338.35
01/04/2021,2021,4,1,574.31,789.1,1363.41
01/05/2021,2021,5,1,577.65,810.08,1387.73
01/06/2021,2021,6,1,592.68,829.19,1421.87
01/07/2021,2021,7,1,595.75,853.03,1448.78
01/08/2021,2021,8,1,596.22,866.89,1463.11
01/09/2021,2021,9,1,598.61,877.35,1475.96
01/10/2021,2021,10,1,602.43,888.45,1490.88
01/11/2021,2021,11,1,603.54,903.22,1506.76
01/12/2021,2021,12,1,604.46,910.06,1514.52
01/01/2022,2022,1,1,609.69,915.79,1525.48
01/02/2022,2022,2,1,611.1,922.86,1533.96
01/03/2022,2022,3,1,621.79,927.28,1549.07
01/04/2022,2022,4,1,623.27,944.49,1567.76
01/05/2022,2022,5,1,638.78,962.98,1601.76
01/06/2022,2022,6,1,653.78,974.47,1628.25
01/07/2022,2022,7,1,664.39,987.88,1652.27
01/08/2022,2022,8,1,667.18,994.67,1661.85
01/09/2022,2022,9,1,669.23,999.96,1669.19
01/10/2022,2022,10,1,675.1,1000.36,1675.46
01/11/2022,2022,11,1,677.49,1000.47,1677.96
01/12/2022,2022,12,1,678.05,1001.2,1679.25
01/01/2023,2023,1,1,683.51,1000.94,1684.45
01/02/2023,2023,2,1,683.8,1001.94,1685.74
01/03/2023,2023,3,1,686.53,1002.6,1689.13
01/04/2023,2023,4,1,686.85,1006.82,1693.67
01/05/2023,2023,5,1,695.39,1004.4,1699.79
01/06/2023,2023,6,1,704.87,1001.63,1706.5
01/07/2023,2023,7,1,708.59,1001.78,1710.37
01/08/2023,2023,8,1,713.1,1000.42,1713.52
01/09/2023,2023,9,1,715.7,998.17,1713.87
01/10/2023,2023,10,1,717.95,998.35,1716.3
01/11/2023,2023,11,1,718.56,999.15,1717.71
01/12/2023,2023,12,1,720.3,1001.89,1722.19
01/01/2024,2024,1,1,722.26,1003.26,1725.52
01/02/2024,2024,2,1,723.19,1004.92,1728.11
01/03/2024,2024,3,1,723.06,1006.19,1729.25
01/04/2024,2024,4,1,729.07,1007.3,1736.37
01/05/2024,2024,5,1,732.46,1006.8,1739.26
01/06/2024,2024,6,1,742.74,1006.25,1748.99
01/07/2024,2024,7,1,746.7,1009.31,1756.01
01/08/2024,2024,8,1,752.78,1014.31,1767.09
01/09/2024,2024,9,1,753.95,1019.25,1773.2
01/10/2024,2024,10,1,755.19,1027.32,1782.51
01/11/2024,2024,11,1,755.25,1031.57,1786.82
01/12/2024,2024,12,1,755.71,1034.95,1790.66
01/01/2025,2025,1,1,763.02,1036.8,1799.82
01/02/2025,2025,2,1,764.08,1039.82,1803.9
01/03/2025,2025,3,1,766.8,1043.45,1810.25
01/04/2025,2025,4,1,771.98,1046.66,1818.64
01/05/2025,2025,5,1,774.55,1051.98,1826.53
01/06/2025,2025,6,1,786.32,1056.33,1842.65
01/07/2025,2025,7,1,789.62,1058.77,1848.39
01/08/2025,2025,8,1,798.9,1064.1,1863
