ID,Data_Dia_do_mes,Data_Dia_da_semana,Data_Hora,Imovel_Tipo_Apartamento,Imovel_Tipo_Casa,Imovel_Tipo_Casa_em_Condominio,Imovel_Tipo_Alto_Padrao,Imovel_Cod_PS,Imovel_Cod_SD,Imovel_Cod_Outro,Imovel_Venda_Valor,Imovel_Aluguel_Valor,Aluguel_Booleano,Venda_Booleano,Status_agendado_visita,Status_nao_respondeu,Status_nao_tem_opcoes,Status_enviou_opcoes,Status_verificou_anuncio,Status_outras_acoes,Status_sem_status
1,31,6,17.40,1,0,0,0,1,0,0,350000.00,0.00,0,1,0,0,0,1,1,1,0
2,30,5,17.63,1,0,0,0,0,1,0,460000.00,0.00,0,1,0,0,0,0,0,1,0
3,29,4,21.60,1,0,0,0,1,0,0,650000.00,0.00,0,1,1,0,0,0,0,1,0
4,29,4,12.87,1,0,0,0,1,0,0,1351125.00,0.00,0,1,0,0,0,0,1,1,0
5,27,2,21.37,1,0,0,0,0,1,0,319999.00,0.00,0,1,0,0,0,0,0,0,1
6,26,1,12.03,1,0,0,0,0,1,0,415000.00,0.00,0,1,0,0,0,0,0,1,0
7,26,1,9.30,1,0,0,0,0,1,0,319999.00,0.00,0,1,1,0,0,0,0,1,0
8,25,0,20.50,1,0,0,0,0,1,0,292588.00,0.00,0,1,1,1,0,0,0,1,0
9,25,0,19.17,1,0,0,0,1,0,0,480000.00,0.00,0,1,1,0,0,1,0,1,0
10,24,6,10.13,1,0,0,0,1,0,0,358000.00,0.00,0,1,1,0,0,0,0,1,0
11,23,5,12.17,1,0,0,0,0,1,0,445000.00,0.00,0,1,1,0,0,0,0,0,0
12,23,5,10.30,1,0,0,0,1,0,0,769000.00,0.00,0,1,0,0,0,1,0,1,0
13,23,5,10.30,1,0,0,0,1,0,0,690000.00,0.00,0,1,0,0,0,1,0,1,0
14,23,5,10.27,1,0,0,0,1,0,0,620000.00,0.00,0,1,0,0,0,1,0,1,0
15,23,5,10.23,1,0,0,0,1,0,0,500300.00,0.00,0,1,0,0,0,1,0,1,0
16,23,5,10.20,1,0,0,0,0,0,1,430000.00,0.00,0,1,0,0,0,1,0,1,0
17,22,4,22.37,1,0,0,0,1,0,0,1400000.00,0.00,0,1,0,0,1,0,0,1,0
18,22,4,20.20,1,0,0,0,1,0,0,1300000.00,0.00,0,1,0,0,1,0,0,1,0
19,22,4,19.77,1,0,0,0,0,1,0,445000.00,0.00,0,1,1,0,0,0,0,0,0
20,22,4,15.60,1,0,0,0,0,1,0,415000.00,0.00,0,1,1,0,0,0,0,0,0
21,22,4,10.27,1,0,0,0,0,1,0,439000.00,0.00,0,1,0,0,0,0,1,1,0
22,20,2,22.47,1,0,0,0,1,0,0,1351125.00,0.00,0,1,0,0,0,0,0,0,1
23,20,2,20.73,0,1,0,0,0,1,0,1271990.00,0.00,0,1,0,0,0,0,0,0,1
24,20,2,19.03,1,0,0,0,0,1,0,304990.00,0.00,0,1,0,0,0,0,0,0,1
25,19,1,12.87,1,0,0,0,1,0,0,850000.00,0.00,0,1,0,0,0,0,0,0,1
26,19,1,11.97,1,0,0,0,1,0,0,789000.00,0.00,0,1,0,0,0,0,0,0,1
27,19,1,8.73,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
28,18,0,17.43,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
29,18,0,14.50,0,1,0,0,1,0,0,380000.00,0.00,0,1,0,0,0,0,0,0,1
30,18,0,10.63,1,0,0,0,0,1,0,645000.00,0.00,0,1,0,0,0,0,0,0,1
31,17,6,20.27,0,1,0,0,1,0,0,380000.00,0.00,0,1,0,0,0,0,0,0,1
32,17,6,20.07,1,0,0,0,0,1,0,645000.00,0.00,0,1,0,0,0,0,0,0,1
33,17,6,11.33,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
34,16,5,23.37,1,0,0,0,0,1,0,439000.00,0.00,0,1,0,0,0,0,0,0,1
35,14,3,11.30,1,0,0,0,1,0,0,850000.00,0.00,0,1,0,0,0,0,0,0,1
36,13,2,12.00,1,0,0,0,0,1,0,1759899.00,0.00,0,1,0,0,0,0,0,0,1
37,13,2,11.80,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
38,13,2,10.53,1,0,0,0,1,0,0,0.00,2820.00,1,0,0,0,0,0,0,0,1
39,13,2,0.23,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
40,12,1,8.27,1,0,0,0,1,0,0,0.00,2820.00,1,0,0,0,0,0,0,0,1
41,11,0,21.90,1,0,0,0,1,0,0,0.00,2200.00,1,0,0,0,0,0,0,0,1
42,11,0,13.23,1,0,0,0,1,0,0,320000.00,0.00,0,1,0,0,0,0,0,0,1
43,10,6,16.37,0,0,1,0,0,1,0,689980.00,0.00,0,1,0,0,0,0,0,0,1
44,10,6,14.83,0,0,1,0,0,1,0,849980.00,0.00,0,1,0,0,0,0,0,0,1
45,10,6,14.73,0,0,1,0,0,1,0,689980.00,0.00,0,1,0,0,0,0,0,0,1
46,9,5,19.37,1,0,0,0,1,0,0,500300.00,0.00,0,1,0,0,0,0,0,0,1
47,9,5,19.37,1,0,0,0,0,1,0,449970.00,0.00,0,1,0,0,0,0,0,0,1
48,9,5,19.33,1,0,0,0,0,0,1,430000.00,0.00,0,1,0,0,0,0,0,0,1
49,9,5,7.70,1,0,0,0,0,1,0,380000.00,0.00,0,1,0,0,0,0,1,0,0
50,8,4,23.60,1,0,0,0,1,0,0,399900.00,0.00,0,1,0,0,0,0,0,0,1
51,8,4,23.57,1,0,0,0,0,1,0,399999.00,0.00,0,1,0,0,0,0,0,0,1
52,8,4,23.03,1,0,0,0,0,0,1,430000.00,0.00,0,1,0,0,0,0,0,0,1
53,8,4,19.80,1,0,0,0,0,1,0,424000.00,0.00,0,1,0,0,0,0,1,0,0
54,8,4,17.13,1,0,0,0,1,0,0,0.00,2820.00,1,0,0,0,0,0,0,0,1
55,8,4,16.63,1,0,0,0,0,1,0,380000.00,0.00,0,1,0,0,0,0,0,0,1
56,8,4,0.30,0,1,0,0,0,1,0,950000.00,0.00,0,1,0,0,0,0,0,0,1
