Apartamento,Sítio,Chácara,Sítio / Chácara,Tereno,fazenda,Lote,Casa,Condomínio,Sobrado,Alto Padrão,Comercial,Studio,Cobertura,Venda,Locação,Quartos,Garagem,Cód. - SD,Cód. - PS,Cód. - SM,Cód. - MANU,Cód - Outros,OLX,São Paulo,rua,VivaReal, SP ,jardim,vila,avenida,Butantã,Embu das Artes,Vila Sônia,Avenida Professor Francisco Morato,sao-paulo,Jardim das Vertentes,Embu Colonial,-RS,propriet,juquitiba,cotia,imoveisnaplantaeprontos,Avenida Marechal Fiuza de Castro,Parque,Jardim Pinheiros,Vila Mariana,ImobiBrasil,zona-oeste,SS Consultoria Imobiliária,Saúde,Mobile,Chacaras,Jardim Celeste,corretor,Itapecerica da Serra,pirajussara,Vila Butantã,zona-sul,SS CONSULTORIA IMOBILIÁRIA LTDA,Rua Bartolomeo Bon,Rio Pequeno,Jardim Henriqueta,Palestina,Ressaca,Vila da Saúde,Jardim Monte Kemel,Vila Pirajussara,Vila Progredior,Jardim Arpoador,Vale do Sol,Jardim Dracena,Mirandópolis,Jardim América,vila-sonia,Parque Reboucas,Potuverá,Caxingui,Jardim Caboré,Jardim Ester,taboao-da-serra,Osasco,Jardim Paulista,Jardim Umuarama,Jardim Bonfiglioli,Bosque da Saúde,Avenida Otacílio Tomanik,Maria Auxiliadora,Cerqueira César,Vila Polopoli,Jardim Monte Alegre,Embu Mirim,Chácaras Bartira,parque-munhoz,vila-leopoldina,Jardim Wanda,Jardim Guerreiro,Alameda Santos,re/max,Avenida Nove de Julho,Vila Clementino,Vila Andrade,vila-andrade,Itaquaciara,jardim-jaqueline,Chácara Rincao,Capuava,Parque Munhoz,Jardim Maria Rosa,Vila das Belezas,Ano,Mês,Dia,Valor (target),Área Útil,R$/m²
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,2,11,495000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1,22,495000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,1,17,2250000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025,5,26,590600,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,8,2,299000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,11,8,400000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,11,12,400000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2024,11,5,400000,64,6250
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,11,21,340000,,
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2024,10,11,340000,,
