Concurso,Dia,Mês,Ano,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Ganhadores 6 acertos,Ganhadores 5 acertos,Ganhadores 4 acertos,Rateio 6 acertos,Rateio 5 acertos,Rateio 4 acertos,Acumulado 6 acertos,Arrecadação Total,Estimativa prêmio,Acumulado Sorteio Especial Mega da Virada
2110,31,12,2018,5,10,12,18,25,33,52,7688,303857,5818007.36,6644.73,240.17,0,886048366,2000000,0
2000,31,12,2017,3,6,10,17,34,37,17,4862,173428,18042279.04,10565.03,423.12,0,890947368.5,2000000,0
529,14,1,2004,1,13,33,38,45,56,15,87,4758,348732.75,8565.12,156.03,0,0,0,0
1211,4,9,2010,3,15,31,36,48,54,7,981,44163,13217564.89,10616.29,336.88,0,177888800,2000000,39049215.76
1890,31,12,2016,5,11,22,24,51,53,6,1665,124889,36824758.22,25481.21,485.3,0,735869326.5,2500000,0
1775,31,12,2015,2,18,31,42,51,56,6,827,62767,41088919.05,43913.49,826.55,0,620312112,1500000,0
2427,10,11,2021,3,19,25,37,44,56,5,680,19557,18181413.39,11418.47,567.17,0,134671644,3000000,71730883.05
1350,31,12,2011,3,4,29,36,45,55,5,954,85582,35523497.52,33711.3,536.83,0,549326718,2500000,0
233,19,8,2000,3,7,24,32,36,45,5,512,21452,3196547.03,3790.28,90.2,0,0,0,0
2550,31,12,2022,4,5,10,34,58,59,5,2485,183921,108393993.26,45438.78,877.04,0,1958449342.5,3000000,0
2670,31,12,2023,21,24,33,41,48,56,5,1996,164379,117778204.25,70083.58,1215.71,0,2426252750,3000000,0
1157,27,2,2010,9,29,41,43,46,49,4,248,19079,18179694.01,24207.8,449.52,0,102544866,2500000,9115201.42
2510,13,8,2022,8,13,25,32,44,57,4,242,10296,6670155.67,14818.18,497.55,0,62197002,3000000,76276832.41
2620,12,8,2023,4,6,13,21,26,28,4,404,21667,29058128.28,23042.04,613.76,0,161458740,3500000,72866210.44
1417,18,8,2012,5,12,45,52,56,59,4,83,6383,773932.3,20247.46,376.11,0,28704854,2000000,34344467.15
2052,23,6,2018,50,51,56,57,58,59,4,152,4816,9627559.21,17089.52,770.52,0,45054674,2500000,33972195.67
1086,27,6,2009,2,4,6,10,23,45,4,954,52159,13904065.2,5470.55,142.93,0,89142866.75,2000000,23380290.7
1183,29,5,2010,5,10,12,20,29,37,4,545,21948,8393631.32,5264.03,186.73,0,49002816,2500000,22757758.73
2028,4,4,2018,7,11,24,36,42,58,4,261,9867,10251126.97,11811.65,446.34,0,53470886,3000000,20172038.59
1560,31,12,2013,20,30,36,38,47,53,4,1147,90376,56169465.02,38701.2,701.67,0,758218978,1500000,0
216,22,4,2000,14,18,30,35,42,59,4,91,5049,801057.55,9745.75,175,0,0,0,0
238,23,9,2000,9,13,15,37,41,42,4,188,10483,1429476.11,6088.25,108.86,0,0,0,0
