Bimestre	Disciplina	Relação com Projeto	Objetivo	Ementa	Conteúdo programático	Bibliografia Básica	Bibliografia Complementar	Funções Relacionadas
1	Ética, Cidadania e Sociedade	1	"Compreender os conceitos de ética, cidadania e sociedade; analisar a relação entre ética, cidadania e sociedade; contribuir para uma reflexão sobre os valores éticos e  responsabilidades  como  cidadão  perante  o  país,  a  fim  de  procurar  construir  uma sociedade economicamente viável, ambientalmente correta, e socialmente justa; 
reconhecer cidadania no mundo do trabalho; analisar as relações étnico-raciais. Discutir o  conceito  de  ética  e  compromisso  com  a  promoção  de  cidadania  e  da  profissão. Conhecer os aspectos legais que permeiam a atuação profissional."	Etimologia e conceitos: Fundamentos filosóficos. Ética e valor humano. Ética, moral e condição humana. Ética e ciência. A Ética e o profissional. Ética e cidadania no mundo do trabalho. O trabalho, o trabalhador e as organizações no mundo contemporâneo. Relações étnico-raciais. Sustentabilidade.		"TEIXEIRA, Orci Paulino Bretanha. A fundamentação ética do estado socioambiental. Porto Alegre/RS: EDIPUCRS;2017 
AMARO, Sarita. Racismo, igualdade racial e  políticas de ações afirmativas no Brasil. Porto Alegre/RS: EDIPUCRS;2017 
JOHANN, Jorge Renato. Um novo homem e uma nova sociedade: construindo a cidadania. Porto Alegre/RS: EDIPUCRS;2017 
GALLO, Silvio. Ética e Cidadania - Caminhos da Filosofia. Campinas/SP: Papirus, 2013."	"CORTELLA,  Mario  Sergio;  BARROS  FILHO,  Clóvis.  Ética  e  vergonha  na  cara! Campinas/SP: Papirus, 2013, 
TONNETTI, Flávio, MEUCCI, Arthur. Ética, Medo e Esperança. São Paulo: Vozes, 2017. 
HORNSTEIN, Harvey A. O Abuso do Poder e o Privilégio nas Organizações. São Paulo: Pearson, 2013. 
PINKY, Jaime.(org.) Práticas de Cidadania. São Paulo: Contexto, 2013. 
NODARI, Paulo César. Sobre ética: Aristóteles, Kant e Levinas. Caxias do Sul/RS: Editora Edusc, 2013."	Gestão Acadêmica
1	Leitura e Produção de Textos	1	Discutir o papel social da linguagem no contexto da nossa realidade; oferecer conceitos  e  reflexões  a  respeito  da  linguagem  humana;  apresentar  a  relação  entre leitura e produção textual; apresentar princípios básicos da produção textual.	"Prática  de  leitura  e  de  produção  de  textos  de  diversos  gêneros.  Noções fundamentais sobre estrutura e conteúdo: coesão, coerência, clareza,  informatividade e adequação. Revisão e reescrita orientada dos textos produzidos. Subsidiar os estudantes para a produção textual."		"COLELLO,  Silvia  M.  G.  A  escola  que  (não)  ensina  a  escrever.  São  Paulo: Summus, 2012. p. 272. ISBN 9788532302465. 
COLELLO,  Silvia  M.  G.  A  escola  e  a  produção  textual:  práticas  interativas  e tecnológicas. São Paulo: Summus, 2017. ISBN: 9788532310675 
PERISSÉ, Gabriel. A arte da palavra: como criar um estilo pessoal na comunicação escrita. Barueri: Manole, 2002. p. 156. ISBN 9788520416556."	"BARBOSA,  Cláudia  Soares.  Língua  portuguesa:  classes  gramaticais  e  texto narrativo. Curitiba: InterSaberes, 2013. ISBN: 9788582125427 
CASTILHO, Ataliba T. de. Nova gramática do português brasileiro. São Paulo: Contexto, 2010. p. 768. ISBN 9788572444620. 
FIORIN,  José  Luiz.  Elementos  de  análise  do  discurso.  São  Paulo:Contexto, 2005. ISBN 9788572442947. 
SILVA, A.; PESSOA, A. C.; LIMA, A. Ensino de gramática: reflexões sobre a língua portuguesa na escola. São Paulo: Autêntica, 2012. ISBN: 9788582172414. 
BASSO, R. M.; GONÇALVES, R. T. História concisa da língua portuguesa.  Rio de Janeiro: Vozes, 2014. ISBN: 9788532646484. "	Formatação e Apresentação
1	Pensamento Computacional	3	"Utilizar  sistemas  computacionais  (computadores  e  celulares)  para  acesso  à internet, programas e compartilhamento de informações; pensar e resolver problemas utilizando quatro características principais: Decomposição (dividir a questão em problemas menores), Padrões (identificar o padrão ou padrões que geram o problema), 
Abstração  (entender  como  soluções  podem  ser  reutilizadas  em  múltiplos  cenários)  e Algoritmo (definir ordem ou sequência de passos para solução de problema)."	"Navegação,  pesquisa  e  filtragem  de  informações.  Interação  por  meio  de tecnologias.    Compartilhamento  de  informações  e  conteúdos.  Colaboração  por  canais digitais.  Raciocínio  lógico,  análise  e  resolução  de  problemas.  Estudo  dos  dispositivos computacionais. Noção de algoritmos. Práticas de computação. Jogos de lógica. 
Desenvolvimento  de  conteúdo.  Construção  de  narrativas  usando  programação  com blocos."		"CARVALHO,  Fábio  Câmara  Araújo  de;  IVANOFF,  Gregorio  Bittar. Tecnologias que Educam: ensinar e aprender com as tecnologias de informação e comunicação. São Paulo: Pearson, 2013. 
VIALI,  Lorí;  LAHM,  Regis  Alexandre.  Tecnologias  na  educação  em  ciências  e matemática. Porto Alegre/RS: Editora EdiPUC, 2019. 
KENSKI, Vani Moreira. Educação e tecnologias: O novo ritmo da  informação. Campinas/SP: Papirus, 2013."	"LOCK, Matheus. Comunicações transversais: o preconceito digital e os efeitos na opinião pública. Porto Alegre/RS: Editora EdiPUC, 2019. 
JARVIS,  Jeff.  O  que  a  Google  faria?:  como  atender  às  novas  exigências  do mercado. São Paulo: Editora Manole, 2013. 
CAPRON, H. L.; JOHNSON, J. A. Introdução à Informática. São Paulo: Pearson, 2013, 8ª edição. 
MENEZES, Alexandre Moreira de. Os Paradigmas de Aprendizagem de Algoritmo Computacional. São Paulo: Editora Blucher, 2018."	Desenvolvimento de Software, Pesquisa Científica
2	Inglês	2	"Objetivos:  Desenvolver  as  habilidades  de  compreensão  oral  e  escrita  pelo  uso  das mídias digitais como recurso, de forma a construir significados dos conteúdos curriculares do curso, atendendo às especificidades acadêmico-profissionais da área."	"Desenvolvimento  das  estruturas  básicas  utilizando  as  habilidades  linguísticas de ouvir e ler numa abordagem comunicativa intercultural em nível elementar. 
Introdução à compreensão de textos orais e escritos em língua inglesa que circulam nas mídias digitais, atendendo às especificidades acadêmico-profissionais das áreas, abordando aspectos léxico-gramaticais, discursivos e interculturais da língua inglesa."		"FERRO,  Jeferson.  Around  the  work:  introdução  à  leitura  em  língua  inglesa. Curitiba: Intersaberes, 2012. 
LAPKOSKI, Graziella Araújo  de Oliveira.  Do texto  ao sentido: teoria e prática de leitura em língua inglesa. Curitiba. Intersaberes, 2012. 
LOPES, Maria Cecilia (coordenação). Minidicionário Rideel inglês-português-inglês. São Paulo: Rideel, 2011."	"DREY, Rafaela Fetzner;  Selistre,  Isabel Cristina Tedesco;  Aiub, Tânia. Inglês: práticas de leitura e escrita. Porto Alegre: Penso, 2015. 
LIMA, Thereza Cristina de Souza. Língua Estrangeira Moderna: inglês. Curitiba: Intersaberes, 2016. 
__________. Inglês básico nas organizações. Curitiba: Intersaberes, 2013. 
Rejani, Márcia.  Inglês: comunicação e processos para hospedagem. 1. ed. -- São Paulo : Érica, 2014. 
SILVA,  Thais  Cristófaro.  Pronúncia  do  inglês:  para  falantes  do  português brasileiro. São Paulo: Contexto, 2012."	Documentação de Software, Pesquisa Acadêmica
2	Matemática Básica	1	"Revisar e aprofundar conceitos básicos de matemática do Ensino Fundamental e Médio, proporcionando ao aluno um
melhor aproveitamento do curso."	"Divisão dos números em conjuntos numéricos. Operações com os números em todos os conjuntos numéricos. Expressões
numéricas. Problemas matemáticos. Aplicar as operações em conjuntos numéricos na resolução de problemas. Razão e
proporção. Resolução de problemas que envolvem razão e proporção. Algoritmo de resolução de regras de três simples
e composta. Calcular porcentagens em variadas situações. Perceber a relação entre porcentagem e regra de três simples."	"Números Naturais e suas operações
Números Inteiros e divisibilidade
Números Racionais, Reais e operações
Problemas matemáticos
Razão e proporção
Regra de três
Porcentagem"	"BOALER, Jo. Mentalidades matemáticas. Porto Alegre: Penso, 2017.
SMOLE, Katia Stocco; DINIZ, Maria Ignez; CÂNDIDO, Patricia. Jogos de matemática: 1º a 5º ano. Porto Alegre: Artmed, 2007. (Série Cadernos do Mathema - Ensino Fundamental).
WALL, Edward S. Teoria dos números para professores do ensino fundamental. Tradução: Roberto Cataldo Costa; revisão técnica: Katia Stocco Smole. Porto Alegre: AMGH, 2014."	"DANTE, Luiz Roberto. Formulação e resolução de problemas de matemática: teoria e prática. 1ª ed. São Paulo: Ática, 2009.
MORETTIN, Luiz Gonzaga. Estatística Básica: probabilidade e inferência. São Paulo: Pearson Prentice Hall, 2010.
SMOLE, Katia Stocco; DINIZ, Maria Ignez; MILANI, Estela. Jogos de matemática: 6º a 9º ano. Porto Alegre: Artmed, 2007. (Série Cadernos do Mathema - Ensino Fundamental).
RAMOS, Luzia Faraco. Conversas sobre números, ações e operações: uma proposta criativa para o ensino da matemática nos primeiros anos. São Paulo: Ática, 2009.
SMOLE, Katia Stocco; DINIZ, Maria Ignez. Materiais manipulativos para o ensino de frações e números decimais. Porto Alegre: Penso, 2016."	Pesquisa Científica
2	Projetos e métodos para a produção do conhecimento	2	"Compreender a estrutura científica formal como maneira de comunicação acadêmica própria de cada área de
conhecimento; desenvolver habilidades e competências específicas necessárias para o desempenho na vida
acadêmica e profissional; desenvolvimento do raciocínio lógico, análise, síntese e construção de textos científicos;
leitura crítica, análise e produção de textos argumentativos no desenvolvimento da produção científica; domínio das
normas da ABNT e utilização na construção do conhecimento científico."	"Tipos de conhecimentos; O processo de pesquisa científica e suas classificações; Fundamentos da metodologia
científica; Métodos e técnicas de pesquisa; A comunicação científica; Ética em pesquisa; Base de dados científicos;
Planejamento e elaboração de pesquisa; Organização de trabalho científico (artigo científico, monografias e relatórios
técnicos/científicos); Referências e citações; Desenvolvimento do projeto de pesquisa."	"Senso comum e ciência
Fundamentos da metodologia científica e técnicas de pesquisa
Comunicação científica: rigor e ética em pesquisa
Organização de trabalho científico
Base de dados científicos: características, procedimentos e fontes de pesquisas quantitativas e qualitativas
Desenvolvimento do projeto de pesquisa
Planejamento e elaboração de pesquisa"	"BARROS, A. J. S.; LEHFELD, N. A. S. Fundamentos de metodologia científica. 3ª ed. São Paulo: Pearson Prentice Hall, 2007.
CERVO, A. L.; BERVIAN, P. A.; SILVA, R. Metodologia científica. 6ª ed. São Paulo: Pearson Prentice Hall, 2007.
FLICK, U. Introdução à metodologia da pesquisa: um guia para iniciantes. Porto Alegre: Penso, 2012.
GIBBS, G. Análise de dados qualitativos. Porto Alegre: Artmed, 2009."	"ANGROSINO, M. Etnografia e observação participante. Porto Alegre: Artmed, 2009.
CRESWELL, J. W. Projeto de pesquisa: métodos qualitativo, quantitativo e misto. 3ª ed. Porto Alegre: Artmed, 2010.
LARSON, R.; FARBER, B. Estatística aplicada. São Paulo: Pearson Education do Brasil, 2015.
SPIEGEL, M. R.; SCHILLER, J. J.; SRINIVASAN, R. A. Probabilidade e estatística. 3ª ed. Porto Alegre: Bookman, 2013."	Gestão do TCC, Pesquisa Acadêmica
3	Algoritmos e Programação de Computadores I	5	"Compreender conceitos básicos de programação e descrever algoritmos para resolver problemas utilizando a linguagem de
programação Python, incluindo depuração e testes automatizados básicos"	"Algoritmos: caracterização, notação, estruturas básicas. Conceitos de linguagens algorítmicas: expressões; comandos
sequenciais, seletivos e repetitivos; entrada/saída; variáveis; constantes; listas, vetores (listas em Python), matrizes,
strings; funções; escopo de variáveis; desenvolvimento, depuração, noções de testes automatizados e documentação de
programas utilizando linguagem Python."	"Introdução a algoritmos e a Python: noção de algoritmos, fluxogramas e linguagem Python
Expressões aritméticas, lógicas e operadores
Variáveis, strings, listas, tuplas e operadores
Criação de programas em Python: definição de funções, entrada e saída de dados. Documentação de programas
Estruturas de condição: uma, duas ou mais vias
Estruturas de repetição: for, while, continue, break e pass
Vetores e matrizes: listas multi-dimensionais em Python
Noções de depuração de programas"	"PERKOVIC, Ljubomir. Introdução à Computação Usando Python: Um Foco no Desenvolvimento de Aplicações. São Paulo: LTC, 2016.
MILLER, Brad; RANUM, David. Como Pensar como um Cientista da Computação.São Paulo: Panda, 2019."	"FREEMAN, Eric. Use a Cabeça! Aprenda Programar. Rio de Janeiro: Alta Books, 2019.
DOWNEY, Allen. Pense Python: pense como um Cientista da Computação. São Paulo: Novatec, 2016.
KON, Fabio. Introdução à Ciência da Computação em Python. [s.i.]: Coursera, 2019."	Desenvolvimento de Software
3	Cálculo I	3	"Desenvolver os conceitos e apontar aplicações do Cálculo Diferencial e Integral de funções de uma variável real; Estimular
a análise em torno da validade, veracidade e unicidade ou não de determinados modelos matemáticos e suas possíveis
aplicações; Promover o raciocínio matemático para procedimentos específicos de Cálculo e refletir sobre possíveis
generalizações; Entender as noções de infinitésimos e infinitos."	"Introdução: O Que é o Cálculo?; Funções (Noções Básicas, Operações com Funções, Construção e Definição de Novas
Funções); Limite (Definição de Limite, Cálculo de Limites de Funções, Outras Técnicas de Cálculo de Limites, Limites de
Sequências, Somas e Séries Numéricas); Continuidade (Conceito e Definição, Teoremas Básicos); Derivada (Definição de
Derivada e Exemplos Simples, Exemplos da Interpretação da Derivada como Taxa de Variação, Regras de Derivação,
Derivadas de Funções Inversas e Implícitas, Teoremas Importantes e Interpretação Geométrica, Aplicações de Derivadas,
Cálculo de Máximos e Mínimos de uma Função, O Teorema de Taylor); Integral (Definição de Integral segundo Riemann,
Integração de Funções Elementares, Teorema Fundamental do Cálculo, Métodos de Integração, Cálculo do Volume e Área
de Sólidos de Revolução, Outras Aplicações Geométricas (no Plano), Técnicas de Integração, Integrais Impróprias;
Aplicações de Limites, Derivadas e Integrais."	"Funções e Introdução ao Estudo de Limites
Derivadas e Taxa de Variação
Regras de Derivação
Aplicações de Derivada: Máximos e Mínimos de Funções
Integrais e o Teorema Fundamental do Cálculo
Técnicas de Integração
Aplicações de Integrais: Cálculo de Área e Volume de Sólidos
Revisão"	"GUIDORIZZI, H. L. Um curso de cálculo. v. 1. Rio de Janeiro: LTC, 2013.
STEWART, J. Cálculo. v. 1. São Paulo: Cengage Learning, 2013.
THOMAS, G. B. Cálculo. v. 1. São Paulo: Pearson, 2013."	"ÁVILA, G. S. S.; ARAÚJO, L. C. L. Cálculo: ilustrado, prático e descomplicado. Rio de Janeiro: LTC, 2012.
FRIEDLI, S. Cálculo 1. Belo Horizonte: UFMG, 2014.
LEITHOLD, L. O cálculo com geometria analítica. v. 1São Paulo: Harbra, 1994.
MARQUES, G. C. Fundamentos de matemática I. São Paulo: USP; Univesp; EDUSP, 2014.
SIMMONS, G. F. Cálculo com geometria analítica. v. 1. São Paulo: Makron Books, 2010."	Pesquisa Científica
3	Introdução a Conceitos de Computação	3	Fornecer noções básicas sobre o funcionamento de dispositivos computacionais e sobre álgebra booleana. 	"Breve história da computação. Sistemas de Numeração. Operações lógicas e tabela da verdade. Representação de
números inteiros e de ponto flutuante, cadeias de caracteres. Tipos de Dispositivos, Arquivos, Redes e Sistemas
Operacionais. Conceitos de arquitetura de computadores."	"Introdução ao curso, conceitos básicos, breve história da computação, representação de dados
Representação de dados, sistemas de numeração e conversão de bases
Aritmética binária e operações lógicas
Portas lógicas e circuitos
Hardware e doftware
Sistemas operacionais
Redes de computadores
Revisão"	"BROOKSHEAR, J. G. Ciência da Computação: uma visão abrangente. Porto Alegre: Bookman, 2013.
CARVALHO, A. C. P. L. F. de; LORENA, A. C. Introdução à Computação: Hardware, Software e Dados. Rio de Janeiro: LTC, 2016.
DALE, N.; LEWIS, J. Ciência da Computação. Rio de Janeiro: LTC, 2010."	"TURING, D. A. A História da Computação. São Paulo: M. Books, 2019.
WAZLAWICK, R. História da Computação. São Paulo: GEN LTC, 2016. "	Desenvolvimento de Software
4	Algoritmos e Programação de Computadores II	5	"Reforçar a prática de programação em Python, composição de programas com múltiplos arquivos de código fonte, uso
de bibliotecas, APIs (WEB) e GUIs. Noções de programação orientada a objetos."	"Depuração de programas. Conceito e uso de pilhas, filas, listas, árvores. Recursão. Algoritmos de Ordenação e Busca.
Noções de gerenciamento de memória e manipulação de listas. Módulos e noções de objetos, arquivos. Modularização
(módulos, bibliotecas, interfaces). Uso de APIs básicas da WEB e manipulação de dados (JSON). Criação de interfaces
gráficas simples. Controle de Versão (GIT). Testes automatizados"	"Gerenciamento de memória, arquivos e depuração de programas
Programação orientada a objetos e modularização
Recursão
Pilhas, filas e árvores
Ordenação e busca
Processamento de elementos da Web
GUIs
GIT, testes automatizados e revisão"	"PERKOVIC, L. Introdução à Computação Usando Python: Um Foco no Desenvolvimento de Aplicações. São Paulo: LTC. 2016.
MILLER, B.; RANUM, D. Como Pensar como um Cientista da Computação. [s.i.]: [s.n.], 2019."	"FREEMAN, E.. Use a Cabeça! Aprenda Programar. Rio de Janeiro: Alta Books. 2019.
DOWNEY, A. Pense Python: pense como um Cientista da Computação. São Paulo: Novatec. 2016.
SHAW, Z. A. Aprenda Python 3 do Jeito Certo: uma Introdução Muito Simples ao Incrível Mundo dos Computadores e da Codificação. São Paulo: Novatec. 2019."	Desenvolvimento de Software
