OPTICS	The 'p' parameter of cross_val_score must be a float in the range [1.0, inf). Got 'float' instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.cluster.OPTICS', 'params': {'predecessor_correction': True, 'algorithm': 'ball_tree', 'cluster_method': 'xi', 'xi': 0.7570487881827723, 'p': 'float', 'min_cluster_size': 58, 'min_samples': 55, 'leaf_size': 50, 'n_jobs': -1}}}	OPTICS - The 'p' parameter of cross_val_score must be a float in the range [1.0, inf). Got 'float' instead.
OrdinalEncoder	OrdinalEncoder.__init__() got an unexpected keyword argument 'dual'	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.preprocessing.OrdinalEncoder', 'params': {'dual': True, 'handle_unknown': 'use_encoded_value', 'dtype': 'np.float64', 'categories': 'auto', 'min_frequency': 0.37572004506293744, 'tol': 0.7013473030014112, 'encoded_missing_value': 'float', 'leaf_size': 47, 'max_categories': 28, 'max_leaf_nodes': 847, 'unknown_value': -1}}}	OrdinalEncoder - OrdinalEncoder.__init__() got an unexpected keyword argument 'dual'
PassiveAggressiveClassifier	The 'C' parameter of cross_val_score must be a float in the range (0.0, inf]. Got 'float' instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.KNNImputer', 'params': {'n_neighbors': 4}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.linear_model.PassiveAggressiveClassifier', 'params': {'early_stopping': False, 'fit_intercept': True, 'shuffle': True, 'warm_start': True, 'loss': 'hinge', 'average': True, 'C': 'float', 'tol': 'float', 'validation_fraction': 'float', 'max_iter': 'int', 'n_iter_no_change': 'int', 'verbose': 0, 'random_state': 42, 'n_jobs': -1}}}	PassiveAggressiveClassifier - The 'C' parameter of cross_val_score must be a float in the range (0.0, inf]. Got 'float' instead.
Perceptron	The 'class_weight' parameter of cross_val_score must be a str among {'balanced'}, an instance of 'dict' or None. Got "'balanced'" instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.linear_model.Perceptron', 'params': {'early_stopping': True, 'fit_intercept': False, 'shuffle': True, 'warm_start': False, 'penalty': 'l1', 'class_weight': "'balanced'", 'eta0': 2.5029227833640824, 'l1_ratio': 0.8842927318147035, 'tol': 28.53595894306459, 'validation_fraction': 0.326456834408026, 'alpha': 82.05381798078874, 'max_iter': 71, 'n_iter_no_change': 56, 'verbose': 0, 'random_state': 42, 'n_jobs': -1}}}	Perceptron - The 'class_weight' parameter of cross_val_score must be a str among {'balanced'}, an instance of 'dict' or None. Got "'balanced'" instead.
PLSSVD	Input y contains NaN.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.StandardScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.cross_decomposition.PLSSVD', 'params': {'copy': True, 'scale': True, 'n_components': 44}}}	PLSSVD - Input y contains NaN.
PolynomialCountSketch	_Scorer._score() missing 1 required positional argument: 'y_true'	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.kernel_approximation.PolynomialCountSketch', 'params': {'gamma': 44.89368658408883, 'coef0': 55, 'degree': 9, 'n_components': 60, 'random_state': 42}}}	PolynomialCountSketch - _Scorer._score() missing 1 required positional argument: 'y_true'
PolynomialFeatures	_Scorer._score() missing 1 required positional argument: 'y_true'	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}})]}], 'estimator': {'class_path': 'sklearn.preprocessing.PolynomialFeatures', 'params': {'include_bias': True, 'interaction_only': True, 'order': 'C', 'degree': 56}}}	PolynomialFeatures - _Scorer._score() missing 1 required positional argument: 'y_true'
QuadraticDiscriminantAnalysis	The 'reg_param' parameter of cross_val_score must be a float in the range [0.0, 1.0]. Got 'float' instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.KNNImputer', 'params': {'n_neighbors': 8}})]}], 'estimator': {'class_path': 'sklearn.discriminant_analysis.QuadraticDiscriminantAnalysis', 'params': {'store_covariance': False, 'reg_param': 'float', 'tol': 'float'}}}	QuadraticDiscriminantAnalysis - The 'reg_param' parameter of cross_val_score must be a float in the range [0.0, 1.0]. Got 'float' instead.
QuantileTransformer	The 'n_quantiles' parameter of cross_val_score must be an int in the range [1, inf). Got 'int' instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'median'}})]}], 'estimator': {'class_path': 'sklearn.preprocessing.QuantileTransformer', 'params': {'copy': True, 'ignore_implicit_zeros': False, 'output_distribution': 'uniform', 'n_quantiles': 'int', 'random_state': 42}}}	QuantileTransformer - The 'n_quantiles' parameter of cross_val_score must be an int in the range [1, inf). Got 'int' instead.
RadiusNeighborsClassifier	The 'leaf_size' parameter of cross_val_score must be an int in the range [1, inf). Got 'int' instead.	{'preprocessor': [{'group': 'Numeric', 'columns': ['sepal length (cm)', 'sepal width (cm)', 'petal length (cm)', 'petal width (cm)'], 'steps': [('imputer', {'class_path': 'sklearn.impute.SimpleImputer', 'params': {'strategy': 'mean'}}), ('scaler', {'class_path': 'sklearn.preprocessing.RobustScaler', 'params': {}})]}], 'estimator': {'class_path': 'sklearn.neighbors.RadiusNeighborsClassifier', 'params': {'algorithm': 'kd_tree', 'metric': "'chebyshev'", 'metric_params': 'dict', 'outlier_label': "'most_frequent'", 'p': 'float', 'radius': 'float', 'leaf_size': 'int', 'n_jobs': -1}}}	RadiusNeighborsClassifier - The 'leaf_size' parameter of cross_val_score must be an int in the range [1, inf). Got 'int' instead.
