Data	Canal	Evento	Responsável	Observações	Função
17/01/2023 17:32	Fórum AVA	Reuniões quinzenais	Univesp	(Publicado há 2 anos) Fórum: Quinzena 1 - Fórum temático - O quê e como pesquisar Compartilhe com seus colegas sua explicação quanto à relevância do tema para a sua área de conhecimento e para a sociedade. Com essa troca, certamente as ideias irão amadurecer.	Gestão Acadêmica
15/06/2023 20:04	Fórum AVA	Fórum AVA	Univesp	(Publicado há 2 anos) Fórum: Quinzena 4 - Fórum temático - Fontes bibliográficas Compartilhe com seus colegas ao menos três fontes bibliográficas que você está utilizando, informando também o site que usou para buscar a referência. Assim, você e seus colegas podem se ajudar uns aos outros.	Gestão Acadêmica
15/07/2025 23:02	Teams	Convite geral	Pascoal	Alguém do ABC paulista e região para formar grupo de tcc em ciência de dados?	Não Atribuído
20/07/2025 23:59	SEI	Final das inscrições	Univesp	Estudante, Começou o período para escolha de grupos! Será possível fazer essa seleção de 15 a 20 de Julho. Não esqueça de fazer a escolha antes do fim do prazo, pois posteriormente não será possível realizar alterações!	Gestão Acadêmica
23/07/2025 14:36	E-mail	Contato da Edna	Edna	Favor entrar em contato para  grupo Whatsapp  Grupo TCC    Edna Aparecida Nascimento  celular 19 998798507	Não Atribuído
31/07/2025 11:31	E-mail	Convocação	Elysio	Peço que confirmem seus e-mails acadêmicos para criarmos um grupo no Teams (para gerenciarmos os arquivos e o projeto) e confirmem seus números de whatsapp para conversarmos. Bons estudos!!	Gestão do TCC
06/08/2025 00:00	Fórum AVA	Fórum geral - Apresentação Orientadora	Marina Schimidt 	Me chamo Marina Schimidt e sou a facilitadora responsável por acompanhar vocês neste início da disciplina de Trabalho de Conclusão de Curso (TCC). Gostaria de informar que estou finalizando meu vínculo com a Univesp na próxima semana, pois já concluí o prazo previsto de atuação na Pós-Graduação. Por isso, em breve vocês receberão o contato do(a) novo(a) facilitador(a) que irá orientá-los ao longo da disciplina. Enquanto aguardam esse contato, recomendo que o grupo já comece a se organizar: reúnam-se, discutam possíveis temas, combinem formas de trabalho e definam como cada integrante poderá contribuir para o desenvolvimento do TCC. Essa preparação inicial é essencial para garantir um bom andamento do projeto.	Gestão Acadêmica
09/08/2025 17:08	E-mail	Convocação	Elysio	Estamos relativamente atrasados. Podem me mandar mensagem para podermos criar um grupo do WhatsApp? Meu celular é: 11 99382-6489	Gestão do TCC
11/08/2025 11:57	Whatsapp	Criação do grupo	Elysio	Criação do grupo do Whatsapp.	Gestão do TCC
12/08/2025 07:00	Teams	Criação da Equipe	Elysio	Boas vindas ao nosso grupo do TCC onde podemos concentrar nossos esforços. Todas as sugestões e críticas são bem-vindas! 	Gestão do TCC
12/08/2025 07:45	Teams - Arquivos	Adicionado Arquivo de Calendário Outlook	Elysio	cronograma_tcc_2025_2 (calendário do Outlook)	Não Atribuído
12/08/2025 08:26	Diário AVA	Criação do grupo de Whatsapp	Elysio	Link para o grupo do WhatsApp: https://chat.whatsapp.com/FW12P8HYQyXGrkWsUZQ2rt	Gestão do TCC
12/08/2025 08:27	Diário AVA	Criação da equipe do Teams	Elysio	Link para o grupo do Teams: Geral | TCC530-SALA-001GRUPO-005 | Microsoft Teams	Gestão do TCC
12/08/2025 08:39	E-mail	Convocação	Elysio	Para iniciarmos nossos trabalhos, vamos precisar de algumas coisas: Qual é a conta do Paschoal: RA 2107032 ou 1903506. Entrem no grupo do WhatsApp e deem um oi: https://chat.whatsapp.com/FW12P8HYQyXGrkWsUZQ2rt A equipe do Teams que usaremos será: Geral | TCC530-SALA-001GRUPO-005 | Microsoft Teams pedimos que todos leiam os conteúdos e exigências do TCC. A primeira quinzena começou ontem (11 de agosto). devemos marcar uma reunião para nos conheceremos, definirmos o nosso calendário e oficialmente começarmos o projeto. Assim, já comecemos a pensar no que faremos, tá?	Gestão do TCC
12/08/2025 09:00	Teams	Tabela de RH do grupo	Elysio	Adição da tabela de membros no Teams	Gestão do TCC
12/08/2025 09:14	Teams	Registro de Atividades	Elysio	Adição desta tabela nos arquivos do Teams	Não Atribuído
