Ordem	item_entrega	Entrega	Subitem	Competência	Item_rubrica	Rubrica de Avaliação	Gestão Acadêmica	Gestão do TCC	Pesquisa Acadêmica	Formatação e Apresentação	Documentação de Software	Gestão da Proposta	Pesquisa Científica	Desenvolvimento de Software	Aplicação no projeto
1	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.6	 Individual: Contribuir com qualidade	2	8	5	1	4	3	3	2	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
2	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.4	 Individual: contribuir com trabalhos entregues	2	8	4	1	3	6	3	2	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
3	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.5	 Individual: Contribuiu entregando o combinado de forma completa	2	8	3	1	5	6	6	5	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
4	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.1	 Individual: Contribuir para a construção conjunta buscando objetivos comuns	3	8	4	1	2	7	5	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
5	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.2	 Individual: se integrar com o grupo	3	8	4	1	2	7	5	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
6	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.3	 Individual: participar de todas as reuniões	6	8	3	1	2	7	4	5	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
7	1.0	Entrega 1 - Projeto	1.1	Colaborativa	1.1.7	 Individual: Ser pontual, respeitando o prazo/tempo combinado	5	8	3	1	2	7	4	6	O grupo, especialmente os membros com maior pontuação nesta rubrica (Gestão do TCC), demonstra engajamento e contribui ativamente para a construção conjunta do TCC, garantindo a qualidade e pontualidade das entregas.
8	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.7	 Criar estratégia para que o texto seja coerente, sem trechos incoerentes	2	6	7	5	8	3	4	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
9	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.8	 Criar estratégia para que o texto apresente sentido 	2	6	7	5	8	3	4	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
10	1.0	Entrega 1 - Projeto	1.2	Comunicativa	1.2.9	 Criar estratégia para que o texto seja bem estruturado	2	6	7	5	8	3	4	1	A equipe de Formatação e Apresentação, com o apoio dos demais membros, assegura que a escrita do TCC seja clara, coerente, bem estruturada e livre de erros, seguindo as normas ABNT para citações e referências.
