títulos tcc univesp	nº páginas	Complexidade do tema	Nível de Incerteza Científica
A REVOLUÇÃO DOS GRANDES MODELOS DE LINGUAGEM Benefícios, desafios e riscos no avanço da inteligência artificial para área da saúde	17	Alto (teórico)	Alto
O USO DA CIÊNCIA DE DADOS NA ANÁLISE DAS POLÍTICAS PÚBLICAS VOLTADAS À VIOLÊNCIA CONTRA A MULHER	17	Médio	Baixo
Um estudo do impacto na vacinação a expectativa de sobrevivência de internados por COVID-19 em Campinas	25	Baixo (análise de dados tabulares)	Médio
Estudo Comparativo entre Data Lake e Data Warehouse e Impactos da Covid-19 no programa SISU	26	Baixo (conceitual)	Baixo
UTILIZAÇÃO DA ANÁLISE DE DADOS PARA ACOMPANHAR O DESENVOLVIMENTO DO PLANTIO DE SOJA NO SETOR AGRÍCOLA	30	Baixo	Baixo
LGPD - LEI GERAL DE PROTEÇÃO DE DADOS NAS PEQUENAS E MÉDIAS EMPRESAS	31	Baixo (conceitual)	Baixo
USO DE MODELOS PREDITIVOS PARA A PREVISÃO DE RISCO DE INTERNAÇÃO EM PACIENTES POR DENGUE NA CIDADE DE CAMPINAS	31	Impossível (exige processamento)	Baixo
ANÁLISE COMPARATIVA DE MODELOS DE CLASSIFICAÇÃO MÚLTIPLA EM PROCESSAMENTO DE LINGUAGEM NATURAL PARA DADOS DE SATISFAÇÃO DE CLIENTES	33	Impossível (exige processamento)	Médio
Desenvolvimento de sistema para monitoração das pragas agrícolas	33	Impossível (exige hardware)	Baixo
Análises de Dados como Ferramenta de apoio à Administração em Saúde Pública com Ênfase nos Dados do Datasus de Doenças no Estado de São Paulo	37	Médio	Baixo
Desenvolvimento de um Sistema para Predição de Diagnóstico de Doenças Baseado em Sintomas Utilizando Inteligência Artificial	37	Impossível (exige processamento)	Alto
O IMPACTO DO MACHINE LEARNING NA VIDA DE PESSOAS IDOSAS	40	Médio (teórico)	Alto
ScreenCare - Crianças Conectadas, Pais Informadas Uma Abordagem Tecnológica para o Tempo de Tela	40	Baixo (conceitual)	Baixo
Análise e visualização de dados sobre Ocorrências Aeronáuticas no Brasil entre 2010 e 2021	42	Baixo	Baixo
Análise de dados da Síndrome Respiratória Aguda Grave em Ribeirão Preto, no Estado de São Paulo	46	Médio	Baixo
APRENDIZADO DE MÁQUINA EM ANÁLISE DE INADIMPLÊNCIA EM OPERAÇÕES DE CARTÃO DE CRÉDITO	52	Impossível (exige processamento)	Baixo
AUMENTO DE PRODUTIVIDADE DE DESENVOLVEDORES DE SISTEMAS COM O USO DO CHATGPT	55	Médio (teórico)	Alto
Aplicação de técnicas de mineração de dados para identificação de correlações entre o perfil dos educandos do 3º ano do ensino médio, seus ambientes educacionais e respectivos desempenhos no SARESP	58	Baixo	Baixo
Uso de Redes Recorrentes para Recomendações de Compra e Venda de Ações na bolsa de Valores	60	Impossível (exige processamento)	Médio
ANÁLISE DA VIABILIDADE DE CRIAÇÃO DE UM BANCO DE DADOS UNIFICADO PARA CONHECIMENTO ACERCA DA ACESSIBILIDADE NOS PRÉDIOS PÚBLICOS	61	Baixo (conceitual)	Baixo
UMA ANÁLISE DO TREINAMENTO DE REDES NEURAIS PARA USO EM CHATBOTS	61	Alto (teórico)	Alto
Visualização de dados Comparação de diferentes ferramentas para representar relações complexas entre variáveis	68	Baixo (conceitual)	Baixo
UM ESTUDO SOBRE A CORRELAÇÃO ENTRE A CARGA DE ENERGIA ELÉTRICA E O PRODUTO INTERNO BRUTO	72	Baixo	Baixo
Análise do Conforto Térmico Humano em Áreas do Sudeste do Brasil Sob Cenários de Aquecimento Global	77	Médio	Médio
ANTES E DEPOIS DA PANDEMIA UMA ANÁLISE EXPLORATÓRIA DO TRÁFEGO AÉREO DOS VOOS DOMÉSTICOS NO BRASIL	84	Baixo	Baixo
ESTUDO COMPARATIVO DE DETECÇÃO DE OBJETOS EM IMAGENS ENTRE A SOLUÇÃO WEB MICROSOFT CUSTOM VISION E UMA APLICAÇÃO DESENVOLVIDA EM PYTHON	86	Impossível (exige processamento)	Baixo
Geolocalização em Dispositivos Móveis Avanços e Potencialidades	278	Alto (teórico)	Médio
